Site,month_01_RO_m3pd,month_02_RO_m3pd,month_03_RO_m3pd,month_04_RO_m3pd,month_05_RO_m3pd,month_06_RO_m3pd,month_07_RO_m3pd,month_08_RO_m3pd,month_09_RO_m3pd,month_10_RO_m3pd,month_11_RO_m3pd,month_12_RO_m3pd,Zone_ID
Fagaalu_CFS,9360.809477469253,34345.84233439683,5365.896592718392,18390.046283936466,17786.95261660919,3317.3222142021655,5753.0820495739645,7230.270008456725,5097.906314408372,11326.316990608882,9857.770188722227,11854.067595707656,163
Vaipito_CFS,9187.26437909165,26588.940287173627,2878.440942971788,17501.06581484716,13511.83768326916,2810.431380962594,3792.6827757225337,5369.191788547567,3179.1388774169227,9908.404428422526,7829.772288926486,6947.176049529117,133
Fagaitua_CFS,1404.8927499129925,3317.0075360583555,818.789140361875,1610.7592541380745,1803.5647408279044,200.36942430565693,346.1583793610336,1068.4271637812897,478.4010549016539,1462.3028790357137,2026.2388066891938,2196.3785648018197,272
9250D_Malota_CFS,8965.926531942161,13845.327487813325,21133.269995817423,12573.576044165517,20711.91100451694,7483.689441331701,8698.214110285822,5717.151757775432,11661.839980479472,19165.783477187942,13534.543479099411,10382.745251567208,47
9335D_Leone_CFS,8758.037469941262,13504.811429070627,8310.10228586948,8936.134785680435,10523.211666658515,3634.2847614863754,5083.361626115541,8206.480048852602,6597.952463318112,9419.28575441381,9103.723375099993,9759.775544780137,73
9442D_Nuuuli_CFS,12932.957248219158,12424.957926772438,6158.590237554616,12235.540266550503,11712.97497987488,4990.163234683306,6355.02152384212,6397.060824565835,6644.937374580736,9455.110378268286,8936.20417732936,12395.763951030855,125
9175D_Fagasa_CFS,3848.7786494634206,5101.1332497690955,1783.98995644656,4172.009857748286,3358.7313909179047,2041.6247024180154,2733.51709722744,2841.2165895422318,2468.5033110175546,4571.762638785142,2907.261250459509,3426.9211711940648,118
9120D_Afono_CFS,7925.1643820643085,8223.974680655545,6686.097768834373,5955.140414000786,6074.988191719869,3152.3418856054604,3572.2218575098905,3947.1410064993825,3696.9960842302057,7383.798041045352,6316.5164379497255,8757.574906121192,236
9060D_CFS,771.3996349919149,1103.6553012929917,922.4823211564467,821.0183795948308,396.19000476153917,521.0746857764572,394.7595761961291,402.20808990436865,406.82198716604086,709.3272275170505,513.0495428461714,1409.2418760324308,307
9205D_CFS,9554.152915994704,10344.624668462751,9062.160699217831,7808.932441337018,9556.417341329858,6026.965040410598,5660.322052219656,7781.151587277486,7267.161834615023,10989.278662666205,8107.130230229476,11792.428348024596,85
9310D_CFS,3519.2207084068114,3267.1273091461007,2449.4103855854555,2572.938281181738,2603.044583822995,1630.4292513075968,1499.2574153969906,2442.6232957328234,1796.988866486472,3274.7364641266963,2636.598385533113,3871.462225179887,48
9315D_CFS,4018.478521872516,3773.112551387717,4525.361372424259,3026.0736993279997,2919.9290331664515,1861.2474065920005,1932.449506931613,3812.130821483355,2612.7521720831996,5346.999156653419,4138.559906183191,4635.775992798967,63
9480D_CFS,4009.375562745177,4053.2908144782396,2875.454174696012,3061.7239626172945,3115.1860719928004,1882.3311363807381,1894.4921285451276,2328.689012688739,2174.785681313684,3547.374539731046,2949.6107756577576,4300.264171099827,168
9600D_CFS,1715.6023233592625,2003.9835505048104,1396.1406520909861,1570.643338325637,1141.5967169117014,973.5021106822736,839.593008463538,918.6856673332156,919.2125614762667,1304.8892969290323,1036.3238992213332,2324.4577863019354,241
9639D_CFS,822.0582851672311,572.4690374993012,615.6384114611817,570.6668199350856,841.1902919137325,186.91443957759998,262.98293728289025,328.25606238472255,407.73085242514287,562.5736319767426,661.8613679051756,944.5867692000315,342
