Site,Ave Total,AveBF,Ave RO,BF:TF
Fagaalu_CFS,7.362888367613441,2.710177250425661,4.6527111171877795,36.80861524869377
Vaipito_CFS,5.21926709437613,1.6868486081261418,3.5324184862499886,32.319645222674204
Fagaitua_CFS,1.020222277413388,0.46141649522966416,0.5588057821837238,45.22705546084649
9250D_Malota_CFS,7.83991999225966,2.6660060843167,5.173913907942961,34.005526675640105
9335D_Leone_CFS,5.215235277243867,1.8005831759904587,3.414652101253408,34.52544478380707
9442D_Nuuuli_CFS,4.825429984684823,1.230240649912372,3.595189334772451,25.494943534917457
9175D_Fagasa_CFS,2.042652778223723,0.7161370102910182,1.326515767932705,35.059165117321896
9120D_Afono_CFS,3.369841966166957,0.9367045460595159,2.433137420107441,27.796690630123972
9060D_CFS,0.4160177347843611,0.13578197615679932,0.2802357586275618,32.638506679812735
9205D_CFS,6.528658338538414,3.005435666479014,3.5232226720594,46.034506795033906
9310D_CFS,1.573346004877349,0.49955129585756336,1.0737947090197857,31.75088596589446
9315D_CFS,2.5216615003099814,1.0807601613403661,1.4409013389696153,42.85904992432613
9480D_CFS,1.4828893321513004,0.25362738570794496,1.2292619464433554,17.103595002601796
9600D_CFS,1.199956896551724,0.6550297619047619,0.5449271346469621,54.58777425981709
9639D_CFS,0.31387200302057766,0.08465588958215163,0.22921611343842602,26.9714688686654
